id;value
402882513f30bf55013f32f430e50015;Redburn
ES1;Phoenix
ff808081227ad9f7012298a0c3d10313;Goldman Sachs
ff808081227ad9f7012298a13d8c0314;Morgan Stanley
ff808081227ad9f7012298a1d6530315;CM-CIC Securities
ff808081227ad9f7012298a6ba850317;Nomura
ff808081227ad9f7012298a82fd80318;Exane BNP Paribas
ff808081227ad9f7012298a8b9bd0319;Credit Suisse
ff808081227ad9f7012298a8eb40031a;UBS
ff808081227ad9f7012298a94b27031b;Atlantic Equities
ff808081227ad9f7012298adda78031d;Equita SIM
ff808081227ad9f7012298b1e996031e;BofA Merrill Lynch
ff808081227ad9f7012298b23fb6031f;Barclays Capital/Barclays
ff808081227ad9f7012298b2bc520320;Deutsche Bank Securities/Deutsche Bank
ff808081227ad9f7012298b362d40321;JP Morgan Securities/JP Morgan/J.P. Morgan
ff808081227ad9f7012298b3e1ff0322;R.W. Baird
ff808081227ad9f7012298b469c10323;Raymond James
ff80808123dcfeaf0123e79b23860081;Banca IMI
ff8080812317392701231d3b4c6502a5;None
40288251424f2ff50142520a4cf60058;Stephens
ff8080812350ae020123c7df42e0076f;Jefferies
ff8080812350ae020123c809b4930770;Cowen and Company
ff80808123f1e5110124392e20e47f23;Rothschild & Cie
ff80808124d98796012568aeb84d33c8;TD Securities
ff80808124d987960126317a6daa615e;Piper Jaffray
ff80808124d987960126325217576215;RBS
ff80808124d987960126325b3f006224;HSBC
ff80808124d98796012632e8350e62d6;Societe Generale
40288251263c11530126503fb304296e;Natixis Securities
40288251267396ba01267a4b6d8100fb;Oddo Securities/ODDO/Oddo
40288251267396ba01267ab86cf80192;MF Global
4028825128981d620128a6b468710995;BNP Paribas
4028825128ad37590129d54c1299232a;BBVA
402882512a7be2d8012b783c79c32ae3;Citi
402882512c29363e012c2b10f8de003a;ING
402882512c29363e012c2b11a2b0003b;KBC Securities/KBC
402882512c29363e012c2b126a22003c;RBC Capital Markets
402882512c29363e012c2b12f8af003d;Sanford C. Bernstein & Co
402882512c29363e012c2b1504ea003e;Stifel Nicolaus
402882512c29363e012c2b17e6e0003f;Macquarie Securities
402882512cce01c0012cd0d059590092;Nasdaq Conference
402882512d06a7b3012d088ac53e002f;Phoenix (US)
402882512d06a7b3012d09df5226016e;Oppenheimer
402882512fae383a012fb1a0dcad00a3;Davy
402882513116b561013119b121050110;Denver Gold
4028825134208d060134237e893200d8;Keefe, Bruyette & Woods
4028825135c6d6110135c8411bae001f;Scotia Capital
4028825135c6d6110135c8890741005d;BMO Capital Markets
402882513651aaec0136537f53ac0022;William Blair
4028825137961b83013797ffa4d10018;Pacific Crest
4028825138309c87013833c61b8b00a9;Lazard
402882513ca81508013caa906d7c005c;Pareto Securities
402882513d143a85013d15cae01f0001;Wells Fargo
1,11E+14;Consumer Analyst Group of Europe
402882513db3dfaa013db7055d700015;AGC Partners
402882513e67e75a013e6a5042b80ab3;Berenberg Bank/Berenberg
402882513f9ce4e1013fa04f8449002b;Rabobank
402882513f9ce4e1013fa0531d96002c;Degroof Petercam
4028825140dc2f270140df2fec44001a;Kepler Cheuvreux
8a82848742cdd4fc01439ace2797346a;Invest Securities
8a82848742cdd4fc01439ad12b02346b;Carnegie Securities
8a82848742cdd4fc0143d3474df45bc9;Morningstar
8a82848746106785014614f658000070;MainFirst
8a8284874610678501468f11517d1456;CLSA
8a828487461067850146d7c17c86537e;ISI Group
8a8284874832bcae01484551ba120196;Bryan Garnier
8a8284874832bcae0148b697f5d050b2;Santander
8a828487499354c3014a4cfc439b42b2;EEI Financial Conference
8a828487499354c3014a4e5fc6a842d7;Commerzbank
8a828487499354c3014abeb5aafe4910;Aurel BCG
8a828487499354c3014ac8f69d701097;Enskilda Securities
8a828487499354c3014ae913600406af;Canaccord Genuity
8a828487499354c3014ae914ee7106b0;DnB Markets
8a828487499354c3014b4ec9e3ae2c9b;Baader Bank
8a828487499354c3014b6eae4e052efe;equinet Bank
8a828487499354c3014d6770452357f9;Bankhaus Lampe
8a8284874d7c1721014de3102271249c;Sachs Associates
8a8284874d7c1721014e00ca9dff26bf;Sabadell
8a8284874d7c1721014e00cb026226c0;AlphaValue
8a8284874e2b73f8014ed01747fb723f;Quirin Bank
8a8284874e2b73f8014efe3835987416;Bloomberg
8a8284874e2b73f8014f738173877132;Biotech Industry Organization
8a82848750984b68015221f397363d77;Intermonte SIM
8a8284874e2b73f801504c97ab9a55bf;z spare
8a82848750984b680150c7daf08a31f9;Bourse de Luxembourg
8a82848750984b6801523f3956e66fd5;ABN AMRO/ABN Amro/ABN
8a82848750984b680152407771146fe7;Daiwa
8a82848750984b68015259fedd4b70c9;KeyBanc
8a8284875729dd3d015af63138d7098d;Hauck & Aufhauser
8a8284875260dbcc01528443733a00c1;Leerink Partners
8a8284875729dd3d015871e5c1e7538d;Kempen & Co./Kempen
8a8284875260dbcc0153e0418fe04ddd;Mediobanca
8a8284875260dbcc0153e261451d4dec;Gilbert Dupont
8a8284875729dd3d015917cf8a4a0b6d;Evercore ISI
8a8284875729dd3d01591be10d7a0bca;CIBC
8a8284875729dd3d015a3dcc19d2223a;Dr. Kalliwoda Research
8a8284875729dd3d015a4ca1281222d3;Chardan
8a8284875729dd3d015af632f1a1098e;Metzler Capital Markets
8a8284875729dd3d015af64880d30995;Capital Lounge
8a8284875729dd3d015afabc946409cc;MidCap Partners/Midcap Partners
8a8284875729dd3d015b1ec0af26106d;Wedbush Securities
8a8284875729dd3d015b1ee439aa106f;New Street Research
8a8284875729dd3d015b23ce5d13108b;Belfius
8a8284875729dd3d015c54d6d4265a84;Danske Bank
8a8284875e0f399e015e5271bb733df7;BPI
