"","Season","Episode","NumDeaths"
"1",1,1,4
"2",1,2,3
"3",1,3,0
"4",1,4,1
"5",1,5,5
"6",1,6,4
"7",1,7,2
"8",1,8,7
"9",1,9,2
"10",1,10,3
"11",2,1,2
"12",2,2,1
"13",2,3,2
"14",2,4,4
"15",2,5,4
"16",2,6,5
"17",2,7,5
"18",2,8,3
"19",2,9,2
"20",2,10,6
"21",3,1,0
"22",3,2,1
"23",3,3,1
"24",3,4,5
"25",3,5,4
"26",3,6,0
"27",3,7,1
"28",3,8,3
"29",3,9,8
"30",3,10,1
"31",4,1,2
"32",4,2,3
"33",4,3,4
"34",4,4,1
"35",4,5,3
"36",4,6,0
"37",4,7,4
"38",4,8,6
"39",4,9,10
"40",4,10,4
"41",5,1,2
"42",5,2,3
"43",5,3,5
"44",5,4,3
"45",5,5,1
"46",5,6,1
"47",5,7,2
"48",5,8,4
"49",5,9,2
"50",5,10,7
"51",6,1,4
"52",6,2,4
"53",6,3,5
"54",6,4,8
"55",6,5,5
"56",6,6,0
"57",6,7,1
"58",6,8,4
"59",6,9,4
"60",6,10,11
"61",7,1,2
"62",7,2,2
"63",7,3,2
"64",7,4,1
"65",7,5,2
"66",7,6,3
"67",7,7,1
