Grid Type;Seed Spacing;k;TP;FP;TN;FN
Square;10;3;71692;6612;1356602;3822
Square;10;4;71669;5727;1357487;3845
Square;10;5;71628;5529;1357685;3886
Square;20;3;70825;6628;1356586;4689
Square;20;4;70542;4975;1358239;4972
Square;20;5;70580;5052;1358162;4934
Square;30;3;70503;4376;1358838;5011
Square;30;4;70503;4376;1358838;5011
Square;30;5;70503;4376;1358838;5011
Hexagonal;10;3;71551;6684;1356530;3963
Hexagonal;10;4;71589;6281;1356933;3925
Hexagonal;10;5;71461;5706;1357508;4053
Hexagonal;20;3;71105;4674;1358540;4409
Hexagonal;20;4;71143;4674;1358540;4371
Hexagonal;20;5;71030;3892;1359322;4484
Hexagonal;30;3;71233;4607;1358607;4281
Hexagonal;30;4;71125;3858;1359356;4389
Hexagonal;30;5;71125;3858;1359356;4389
